Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Fwd IAT Total,Bwd IAT Total,Fwd PSH Flags,Bwd PSH Flags,Fwd Header Length,Bwd Header Length
1727337150.234814,4,0,218,0,55,54,54.5,0.5773502691896257,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337150.271501,3,0,186,0,66,54,62.0,6.928203230275509,0,inf,0,[],0,0,0,0,0,0,0,60,0
1727337150.361628,18,0,12345,0,1494,54,685.8333333333334,679.6914741263126,0,inf,0,[],0,0,0,0,0,0,0,360,0
1727337150.683375,12,0,8163,0,1506,54,680.25,644.5917841407988,0,inf,0,[],0,0,0,0,0,0,0,240,0
1727337152.799367,6,0,477,0,105,54,79.5,27.93385043276347,0,inf,0,[],0,0,0,0,0,0,0,120,0
1727337153.076980,3,0,282,0,94,94,94.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,60,0
1727337154.461599,6,0,550,0,268,54,91.66666666666667,86.51859145100934,0,inf,0,[],0,0,0,0,0,0,0,120,0
1727337154.738397,2,0,339,0,281,58,169.5,157.6848122046001,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337155.368595,6,0,324,0,54,54,54.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,144,0
1727337160.798445,2,0,110,0,55,55,55.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337160.967022,2,0,132,0,66,66,66.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337164.862919,2,0,150,0,75,75,75.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337164.940124,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337164.941203,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337164.941203,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337165.704387,1,0,75,0,75,75,75.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337166.705936,1,0,179,0,179,179,179.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337166.810429,4,0,2664,0,666,666,666.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337166.885515,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337166.985229,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337166.986136,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337167.279074,7,0,1181,0,179,143,168.71428571428572,17.566201313073595,0,inf,0,[],0,0,0,0,0,0,0,140,0
1727337167.573481,2,0,108,0,54,54,54.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337167.574939,11,0,10676,0,1506,54,970.5454545454545,686.2862906449996,0,inf,0,[],0,0,0,0,0,0,0,220,0
1727337167.863164,7,0,1373,0,1012,54,196.14285714285714,359.8844391242966,0,inf,0,[],0,0,0,0,0,0,0,140,0
1727337167.907247,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337167.907247,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
